City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,conde,-7.2597,-34.9075,29.7,62,75,5.14,BR,1702232851
1,chernogorsk,53.8236,91.2842,-31.24,76,20,0.0,RU,1702232851
2,cidreira,-30.1811,-50.2056,21.79,83,96,9.79,BR,1702232851
3,cedral,23.8,-100.7333,16.99,56,4,3.76,MX,1702232852
4,tiksi,71.6872,128.8694,-23.87,99,100,1.59,RU,1702232852
5,tralee,52.2704,-9.7026,11.14,82,100,11.83,IE,1702232852
6,college,64.8569,-147.8028,-21.72,73,75,1.54,US,1702232852
7,chonchi,-42.6128,-73.8092,18.56,62,94,1.65,CL,1702232852
8,hamilton,39.1834,-84.5333,3.97,75,100,4.63,US,1702232137
9,puerto natales,-51.7236,-72.4875,11.25,62,75,8.23,CL,1702232853
10,carnarvon,-24.8667,113.6333,26.78,24,0,7.45,AU,1702232853
11,edinburgh of the seven seas,-37.0676,-12.3116,13.34,70,100,6.69,SH,1702232853
12,mount isa,-20.7333,139.5,23.87,46,96,6.69,AU,1702232853
13,klyuchi,52.2667,79.1667,-20.77,85,28,2.0,RU,1702232853
14,ushuaia,-54.8,-68.3,9.81,50,0,9.26,AR,1702232854
15,qaqortoq,60.7167,-46.0333,-6.25,74,99,1.17,GL,1702232854
16,ancud,-41.8697,-73.8203,15.1,75,83,4.83,CL,1702232854
17,port-aux-francais,-49.35,70.2167,3.39,74,23,10.7,TF,1702232854
18,malaya vishera,58.8454,32.2222,-9.65,94,100,3.5,RU,1702232854
19,papatowai,-46.5619,169.4708,7.67,75,44,2.93,NZ,1702232855
20,ilulissat,69.2167,-51.1,-3.99,74,100,8.23,GL,1702232855
21,aripuana,-9.1667,-60.6333,35.08,41,49,0.98,BR,1702232855
22,monte caseros,-30.2536,-57.6363,28.19,44,0,4.54,AR,1702232855
23,prado,-17.3411,-39.2208,28.41,63,38,4.14,BR,1702232855
24,isafjordur,66.0755,-23.124,-1.98,74,40,1.54,IS,1702232855
25,sekong,-6.3996,106.0252,24.13,92,98,1.25,ID,1702232856
26,vorgashor,67.5833,63.95,-24.86,100,96,2.61,RU,1702232856
27,tolanaro,-25.0319,46.9987,26.04,89,20,9.77,MG,1702232856
28,natal,-5.795,-35.2094,30.36,58,20,6.69,BR,1702232856
29,albany,42.6001,-73.9662,13.15,90,100,1.34,US,1702232717
30,wailua homesteads,22.0669,-159.378,23.44,89,20,4.63,US,1702232857
